"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-25,admitad,cpa,admitad,79,0,1,1,134100
2023-06-01,yandex,cpc,prof-frontend,96,57138,6,1,23000
2023-06-01,vk,cpc,base-python,83,2537,4,1,23000
2023-06-01,google,organic,,6713,0,0,0,0
2023-06-01,organic,organic,,2040,0,0,0,0
2023-06-01,yandex,cpc,freemium,130,21654,5,0,0
2023-06-01,vk,cpc,freemium-frontend,126,3160,7,0,0
2023-06-01,admitad,cpa,admitad,100,0,0,0,0
2023-06-01,vk,cpc,prof-python,97,2028,2,0,0
2023-06-01,vk,cpc,prof-java,82,3115,2,0,0
2023-06-01,yandex,cpc,prof-python,82,33026,3,0,0
2023-06-01,vk,cpc,prof-data-analytics,76,1072,0,0,0
2023-06-01,vk,cpc,freemium-java,72,487,1,0,0
2023-06-01,vk,cpc,freemium-python,66,980,0,0,0
2023-06-01,yandex,cpc,prof-java,61,29490,1,0,0
2023-06-01,bing.com,organic,,59,0,0,0,0
2023-06-01,yandex,cpc,base-frontend,54,18061,4,0,0
2023-06-01,telegram,cpp,base-python,44,0,0,0,0
2023-06-01,telegram,cpp,base-java,38,0,0,0,0
2023-06-01,yandex,cpc,base-python,37,12524,4,0,0
2023-06-01,vk,cpc,prof-frontend,30,0,0,0,0
2023-06-01,yandex,cpc,base-java,26,19252,2,0,0
2023-06-01,yandex,cpc,prof-professions-brand,24,4818,1,0,0
2023-06-01,yandex,cpc,prof-data-analytics,17,10086,0,0,0
2023-06-01,yandex,cpc,prof-professions-retarget,15,1714,0,0,0
2023-06-01,tproger,cpc,dod-frontend,11,0,0,0,0
2023-06-01,vk,cpm,prof-data-analytics,11,385,0,0,0
2023-06-01,vk-senler,cpc,freemium,10,0,0,0,0
2023-06-01,yandex,cpc,dod-frontend,10,2871,0,0,0
2023-06-01,zen,social,hexlet-blog,9,0,0,0,0
2023-06-01,zen,social,prof-frontend,8,0,0,0,0
